Acess.Score,Probe.ID,CDS.Position
0.6,1,1
0.6,1,2
0.6,1,3
0.6,1,4
0.6,1,5
0.6,1,6
0.6,1,7
0.6,1,8
0.6,1,9
0.6,1,10
0.6,1,11
0.6,1,12
0.6,1,13
0.6,1,14
0.6,1,15
0.6,1,16
0.6,1,17
0.6,1,18
0.6,1,19
0.6,1,20
0.6,1,21
0.6,1,22
0.6,1,23
0.6,1,24
0.6,1,25
0.6,1,26
0.6,1,27
0.6,1,28
0.6,1,29
0.6,1,30
0.6,1,31
0.6,1,32
0.6,1,33
0.6,1,34
0.2,1,35
0.2,1,36
0.75,2,29
0.75,2,30
0.75,2,31
0.75,2,32
0.75,2,33
0.75,2,34
0.75,2,35
0.75,2,36
0.75,2,37
0.75,2,38
0.75,2,39
0.75,2,40
0.75,2,41
0.75,2,42
0.75,2,43
0.75,2,44
0.75,2,45
0.75,2,46
0.75,2,47
0.75,2,48
0.75,2,49
0.75,2,50
0.75,2,51
0.75,2,52
0.75,2,53
0.75,2,54
0.75,2,55
0.75,2,56
0.75,2,57
0.75,2,58
0.75,2,59
0.75,2,60
0.75,2,61
0.75,2,62
0.75,2,63
0.75,2,64
0.75,2,65
0.75,2,66
0.75,2,67
0.75,2,68
0.75,2,69
0.75,2,70
0.75,2,71
0.75,2,72
0.75,2,73
0.75,2,74
0.75,2,75
0.75,2,76
0.75,2,77
0.75,2,78
0.75,2,79
0.75,2,80
0.75,2,81
0.75,2,82
0.2,3,74
0.2,3,75
0.2,3,76
0.2,3,77
0.2,3,78
0.2,3,79
0.2,3,80
0.2,3,81
0.2,3,82
0.2,3,83
0.2,3,84
0.2,3,85
0.2,3,86
0.2,3,87
0.2,3,88
0.2,3,89
0.2,3,90
0.2,3,91
0.2,3,92
0.2,3,93
0.2,3,94
0.2,3,95
0.2,3,96
0.2,3,97
0.2,3,98
0.2,3,99
0.2,3,100
0.2,3,101
0.2,3,102
0.2,3,103
0.2,3,104
0.2,4,96
0.2,4,97
0.2,4,98
0.2,4,99
0.2,4,100
0.2,4,101
0.2,4,102
0.2,4,103
0.2,4,104
0.2,4,105
0.2,4,106
0.2,4,107
0.2,4,108
0.2,4,109
0.2,4,110
0.2,4,111
0.2,4,112
0.2,4,113
0.2,4,114
0.2,4,115
0.2,4,116
0.2,4,117
0.2,4,118
0.2,4,119
0.2,4,120
0.2,4,121
0.2,4,122
0.2,4,123
0.2,4,124
0.3,5,118
0.3,5,119
0.3,5,120
0.3,5,121
0.3,5,122
0.3,5,123
0.3,5,124
0.3,5,125
0.3,5,126
0.3,5,127
0.3,5,128
0.3,5,129
0.3,5,130
0.3,5,131
0.3,5,132
0.3,5,133
0.3,5,134
0.3,5,135
0.3,5,136
0.3,5,137
0.3,5,138
0.3,5,139
0.3,5,140
0.3,5,141
0.3,5,142
0.3,5,143
0.3,5,144
0.3,5,145
0.3,5,146
0.3,5,147
0.4,6,141
0.4,6,142
0.4,6,143
0.4,6,144
0.4,6,145
0.4,6,146
0.4,6,147
0.4,6,148
0.4,6,149
0.4,6,150
0.4,6,151
0.4,6,152
0.4,6,153
0.4,6,154
0.4,6,155
0.4,6,156
0.4,6,157
0.4,6,158
0.4,6,159
0.4,6,160
0.4,6,161
0.4,6,162
0.4,6,163
0.4,6,164
0.4,6,165
0.4,6,166
0.4,6,167
0.4,6,168
0.4,6,169
0.4,6,170
0.4,6,171
0.4,6,172
0.4,6,173
0.4,6,174
0.4,6,175
0.4,6,176
0.4,6,177
0.4,6,178
0.4,6,179
0.4,6,180
0.4,6,181
0.4,6,182
0.4,6,183
0.4,6,184
0.4,6,185
0.4,6,186
0.4,6,187
0.4,6,188
0.4,6,189
0.4,6,190
0.4,6,191
0.4,6,192
0.75,7,233
0.75,7,234
0.75,7,235
0.75,7,236
0.75,7,237
0.75,7,238
0.75,7,239
0.75,7,240
0.75,7,241
0.75,7,242
0.75,7,243
0.75,7,244
0.75,7,245
0.75,7,246
0.75,7,247
0.75,7,248
0.75,7,249
0.75,7,250
0.75,7,251
0.75,7,252
0.75,7,253
0.75,7,254
0.75,7,255
0.75,7,256
0.75,7,257
0.75,7,258
0.75,7,259
0.75,7,260
0.75,7,261
0.75,7,262
0.75,7,263
0.75,7,264
0.75,7,265
0.75,7,266
0.75,7,267
0.75,7,268
0.75,7,269
0.75,7,270
0.75,7,271
0.75,7,272
0.75,7,273
0.75,7,274
0.75,7,275
0.75,7,276
0.75,7,277
0.75,7,278
0.75,7,279
0.75,7,280
0.75,7,281
0.75,7,282
0.75,7,283
0.75,7,284
0.75,7,285
0.75,7,286
0.75,7,287
0.75,7,288
0.75,7,289
0.75,7,290
0.75,7,291
0.75,7,292
0.75,7,293
